Rank,Release Group,Worldwide,Domestic,%,Foreign,%
363,Frantz,"$7,478,354","$880,883",11.8%,"$6,597,471",88.2%
364,Yu-Gi-Oh!: The Dark Side of Dimensions,"$7,445,186","$1,015,339",13.6%,"$6,429,847",86.4%
365,Genius,"$7,435,006","$1,361,045",18.3%,"$6,073,961",81.7%
366,The Innocents,"$7,400,324","$1,065,665",14.4%,"$6,334,659",85.6%
367,Survival Game,"$7,387,436",-,-,"$7,387,436",100%
368,Missing Woman,"$7,356,458",-,-,"$7,356,458",100%
369,Compadres,"$7,353,544","$3,127,773",42.5%,"$4,225,771",57.5%
370,The Young Messiah,"$7,330,338","$6,490,401",88.5%,"$839,937",11.5%
371,Apparition,"$7,312,653",-,-,"$7,312,653",100%
372,Poveri ma ricchi,"$7,272,904",-,-,"$7,272,904",100%
373,Full Speed,"$7,268,779",-,-,"$7,268,779",100%
374,Run for Love,"$7,250,876",-,-,"$7,250,876",100%
375,20th Century Women,"$7,214,806","$5,664,764",78.5%,"$1,550,042",21.5%
376,Heroes Wanted,"$7,179,946",-,-,"$7,179,946",100%
377,Baar Baar Dekho,"$7,122,579","$981,947",13.8%,"$6,140,632",86.2%
378,The Map Against the World,"$7,035,812","$34,034",0.5%,"$7,001,778",99.5%
379,Kôdaike no hitobito,"$6,978,689",-,-,"$6,978,689",100%
380,Hatred,"$6,960,645",-,-,"$6,960,645",100%
381,The Salesman,"$6,953,604","$2,402,067",34.5%,"$4,551,537",65.5%
382,"Treintona, Soltera y Fantástica","$6,932,071",-,-,"$6,932,071",100%
383,Jai Gangaajal,"$6,831,758",-,-,"$6,831,758",100%
384,Collide,"$6,817,535","$2,280,004",33.4%,"$4,537,531",66.6%
385,Midnight Special,"$6,740,647","$3,712,282",55.1%,"$3,028,365",44.9%
386,Bleed for This,"$6,698,679","$5,083,906",75.9%,"$1,614,773",24.1%
387,Lost White,"$6,640,736",-,-,"$6,640,736",100%
388,Southside with You,"$6,628,603","$6,304,223",95.1%,"$324,380",4.9%
389,Red Dog: True Blue,"$6,625,303",-,-,"$6,625,303",100%
390,The Red Turtle,"$6,591,789","$921,974",14%,"$5,669,815",86%
391,A Melody to Remember,"$6,559,996","$44,263",0.7%,"$6,515,733",99.3%
392,From the Land of the Moon,"$6,547,983","$47,748",0.7%,"$6,500,235",99.3%
393,Days of Our Own,"$6,545,251",-,-,"$6,545,251",100%
394,Panfilov's 28,"$6,457,240",-,-,"$6,457,240",100%
395,Kamen Rider Heisei Generations: Dr. Pac-Man vs. Ex-Aid & Ghost with Legend Rider,"$6,414,904",-,-,"$6,414,904",100%
396,Andel Páne 2,"$6,397,046",-,-,"$6,397,046",100%
397,Inside or Outside,"$6,323,457",-,-,"$6,323,457",100%
398,Kizumonogatari Part 1: Tekketsu,"$6,319,100",-,-,"$6,319,100",100%
399,Max Steel,"$6,272,403","$3,818,664",60.9%,"$2,453,739",39.1%
400,Görümce,"$6,225,902",-,-,"$6,225,902",100%
401,It's a Fairy!,"$6,186,539",-,-,"$6,186,539",100%
402,The Autopsy of Jane Doe,"$6,170,043","$10,474",0.2%,"$6,159,569",99.8%
403,The Patriarch,"$6,156,936","$2,156,047",35%,"$4,000,889",65%
404,Kocan Kadar Konus: Dirilis,"$6,155,274",-,-,"$6,155,274",100%
405,The Duelist,"$6,101,904","$13,450",0.2%,"$6,088,454",99.8%
406,Kolpaçino 3. Devre,"$5,902,752",-,-,"$5,902,752",100%
407,Drowning Love,"$5,895,838",-,-,"$5,895,838",100%
408,Vampire Sisters 3: Journey to Transylvania,"$5,894,544",-,-,"$5,894,544",100%
409,Maggie's Plan,"$5,883,891","$3,351,735",57%,"$2,532,156",43%
410,My Life as a Zucchini,"$5,872,598","$309,766",5.3%,"$5,562,832",94.7%
411,SMS für Dich,"$5,828,223",-,-,"$5,828,223",100%
412,We Are Family,"$5,813,070",-,-,"$5,813,070",100%
413,"Joséphine, Pregnant & Fabulous","$5,777,198",-,-,"$5,777,198",100%
414,Ghayal Once Again,"$5,775,619",-,-,"$5,775,619",100%
415,The Disappointments Room,"$5,745,040","$2,423,468",42.2%,"$3,321,572",57.8%
416,Kingsglaive: Final Fantasy XV,"$5,725,482","$269,980",4.7%,"$5,455,502",95.3%
